id,prompt,question,answer,anwser_ja,question_ja,completion
1471,"As a supportive AI assistant, you've been given a question regarding a mainframe-related topic. Please provide a response to the inquiry.",What is the role of JCL in debugging mainframe applications?,"JCL (Job Control Language) plays a crucial role in debugging mainframe applications. It contains the necessary instructions for executing a program or a batch of programs. By examining the JCL, you can identify issues related to data allocation, program execution, or job management.",JCL(仕事コントロール言語)は、メインフレームアプリケーションのデブギングにおいて重要な役割を果たします. プログラムやプログラムのパッチを実行するために必要な指示を含みます. JCLを検討することで、データの割り当て、プログラムの実行、または仕事管理に関連する問題を特定することができます。,メインフレームアプリケーションのデビューにおけるJCLの役割は何ですか?,ジョブ・コントロール・ランゲージ(JCL)は、IBMのメインフレームコンピュータ用のアプリケーションプログラムを管理するために使用される言語です。JCLは、ジョブの定義、依存関係の指定、データセットの作成などを行うために使用されます。また、ジョブのスケジューリングや実行も行います。
2328,"As a helpful AI assistant, you've been presented with a question concerning a topic associated with mainframe. Kindly supply a response to the inquiry.",What is the role of workload management tools in mainframes?,"Workload management tools in mainframes help administrators to monitor, analyze, and optimize workloads, enabling them to make informed decisions about resource allocation and system tuning.",メインフレームのワークロードマネジメントツールは、管理者がワークロードを監視、分析、最適化するのに役立ち、リソースの割り当ておよびシステムのトゥーニングに関する情報を得ることを可能にします。,メインフレームにおけるワークロード管理ツールの役割は何ですか?,メインフレームコンピュータにおけるワークロード管理ツールは、コンピュータのリソースを監視し、割り当てを調整することで、実行中のアプリケーションのワークロードを管理するために使用されます。これにより、システムがリソースを効率的に使用し、すべてのアプリケーションが適切な処理時間とCPU時間を得ることができます。
2532,"As a helpful AI assistant, you've been presented with a question concerning a topic associated with mainframe. Kindly supply a response to the inquiry.",What types of memory are typically used in a mainframe?,"Mainframes typically use Random Access Memory (RAM) and Read-Only Memory (ROM) for temporary and permanent storage, respectively.",メインフレームは通常、ランダムアクセスメモリ(RAM)と読み単なるメモリ(ROM)を使用して一時的および永久的な保存を行います。,メインフレームではどのようなタイプのメモリが一般的に使用されますか?,メインフレームでは、キャラクタベースの命令セットとアセンブリ言語が一般的です。
1411,"In your role as a supportive AI assistant, you've been presented with a question related to a mainframe-related topic. Please furnish a response to the query.",What is the role of Disaster Recovery in mainframes?,"Disaster Recovery (DR) in mainframes is the process of preparing for, preventing, and recovering from disasters that can disrupt the operations of a mainframe system. It involves backing up critical data, preparing for potential hardware failures, and ensuring minimal downtime.",メインフレームにおける災害回復(DR)は、メインフレームシステムの機能を妨げる災害からの準備、予防、回復のプロセスであり、重要なデータのバックアップ、潜在的なハードウェア故障の準備、最小限の停止時間を確保する。,メインフレームにおける災害回復の役割は何ですか?,メインフレームコンピュータにおける災害復旧とは、予測不可能な障害が発生した場合にデータとアプリケーションを迅速に復旧させるためのプロセスです。これには、システムが停止した場合にデータを安全な場所に複製し、障害発生後にも継続的なアクセスと処理能力を保証することが含まれます。
2378,"As a supportive AI assistant, you've been given a question regarding a mainframe-related topic. Please provide a response to the inquiry.",What is the significance of mainframes in the era of digital transformation?,"Mainframes have been integral to the era of digital transformation as they provide secure, reliable, and high-performance computing capabilities. They are widely used in mission-critical applications such as financial services, healthcare, and government services, where data security, speed, and accuracy are crucial.",メインフレームは、デジタル変革の時代に不可欠であり、安全で信頼性の高い、高性能のコンピューティング能力を提供しています。それらは、金融サービス、医療、政府サービスなどのミッション重要なアプリケーションで広く使用され、データのセキュリティ、スピード、正確さが重要です。,デジタル変革の時代におけるメインフレームの重要性は何ですか?,デジタル変革の時代において、メインフレームは依然として多くの企業にとって重要な役割を果たしています。大量のデータを安全に処理・保存する必要がある産業や、高い信頼性とセキュリティが求められる産業では、メインフレームが最適な選択肢となります。また、メインフレームは規制業界で必要とされるレポートや監査証跡を提供することもできます。さらに、クラウドベースのサービスや分散型システムとの統合も可能であり、企業のデジタル変革を支援することができます。
1928,"As a supportive AI assistant, you've been presented with a query related to a mainframe-related topic. Please furnish a reply to the question.",What is the role of mainframe emulators in mainframe testing?,"Mainframe emulators are tools that replicate the functionality of a mainframe system. They are used in mainframe testing to create a controlled environment for testing software applications, allowing testers to simulate various scenarios and conditions without affecting the actual mainframe system.",メインフレームエミュレーターは、メインフレームシステムの機能を再現するツールです メインフレームテストでは、ソフトウェアアプリケーションのテストのためのコントロールされた環境を作成するために使用され、テスト者が実際のメインフレームシステムに影響を与えずに様々なシナリオや条件をシミュレートすることができます。,メインフレームテストにおけるメインフレームエミュレーターの役割は何ですか?,メインフレーム・エミュレーターは、ソフトウェア開発者が新しいアプリケーションを開発したり、既存のアプリケーションを移植したりする際に、メインフレーム・コンピュータのハードウェアとソフトウェア環境をシミュレートするために使用されます。これにより、開発者はメインフレーム・コンピュータで実行されるコードの正確なコピーをローカル・マシンで作成し、テストすることができます。
1246,"As a helpful AI assistant, you've received a question pertaining to a topic associated with mainframe. Kindly provide a response to the inquiry.",What is the purpose of a Virtual Machine in a mainframe environment?,"A Virtual Machine in a mainframe environment is used to emulate the functioning of an entire computer system, allowing multiple virtual servers to run on a single physical mainframe.",メインフレーム環境にある仮想マシンは、コンピュータシステム全体の機能を模<unk>するために使用され、複数の仮想サーバーが単一の物理的なメインフレームで実行できるようにします。,メインフレーム環境における仮想マシンの目的は何ですか?,メインフレームコンピュータにおける仮想マシンは、単一の物理マシンを複数の論理マシンに分割するために使用されます。これにより、リソースをより効率的に割り当て、管理し、利用することができます。
70,"In your capacity as a helpful AI assistant, you've received a query concerning a topic related to cobol. Kindly offer a response to the question.",What is the main purpose of COBOL code profiling and optimization?,The main purpose of COBOL code profiling and optimization is to enhance the performance and efficiency of COBOL applications by identifying and correcting bottlenecks or inefficient code.,COBOLコードプロフィールおよび最適化の主な目的は、ボトルネックまたは不効率コードを特定および修正することによって、COBOLアプリケーションのパフォーマンスおよび効率を向上させることです。,COBOLコードプロフィールと最適化の主な目的は何ですか?,COBOLコードのプロファイリングと最適化の主な目的は、プログラムの実行効率を改善することです。プロファイリングにより、プログラムの性能を分析し、ボトルネックを特定することができます。最適化により、これらのボトルネックに対処し、プログラムをより速く実行することができます。これにより、処理速度が向上し、全体的な性能が向上します。
1378,You are a helpful AI assistant. You have been provided with a question related to a mainframe-related topic. Please answer the question.,What is the role of Cloud Computing in mainframes?,"Cloud Computing allows mainframes to provide flexible and scalable computing resources to users on-demand. It enables data sharing, collaboration, and remote access to mainframe applications and services.",クラウドコンピューティングは、メインフレームが要求に応じてユーザーに柔軟でスケール可能なコンピューティングリソースを提供することを可能にし、データ共有、協力、メインフレームアプリケーションおよびサービスへのリモートアクセスを可能にします。,メインフレームにおけるクラウドコンピューティングの役割は?,メインフレームコンピュータは、クラウドコンピューティングに最適なプラットフォームです。大量のデータを処理し、高いセキュリティと信頼性が必要なアプリケーションをサポートするために設計されています。さらに、メインフレームはスケーラブルで、必要なリソースを動的に割り当てることができるため、クラウドコンピューティングに最適な選択肢となります。
1743,"In your capacity as a helpful AI assistant, you've received a query concerning a topic related to mainframe. Kindly offer a response to the question.",What is the role of a mainframe in networking?,"Mainframes serve as the backbone of many enterprise networks, acting as centralized hubs for processing, storage, and managing data for distributed applications. They often use high-speed networking technologies, such as InfiniBand and RoCE, to facilitate secure, low-latency communication with other systems in the network.",メインフレームは多くの企業ネットワークの背景として機能し、分散アプリケーションのデータの処理、保存、管理のための中心的なハブとして機能します。 彼らはしばしば、InfiniBandやRoCEなどの高速ネットワーク技術を使用して、ネットワーク内の他のシステムとの安全で低ラテンシップのコミュニケーションを促進します。,ネットワークにおけるメインフレームの役割は?,メインフレームは、ネットワークにおいて大量のデータを処理し、安全に保存するために使用されます。また、分散コンピューティング環境を統合し、データベース管理やバックアップなどの重要なサービスを提供するためにも使用されます。
2370,"In your role as a supportive AI assistant, you've been presented with a question related to a mainframe-related topic. Please furnish a response to the query.",What is the significance of mainframe migration and modernization?,"Mainframe migration and modernization are crucial for businesses to stay competitive, improve efficiency, and remain compliant with industry regulations and evolving technology standards.",メインフレームの移住と近代化は、企業が競争力を維持し、効率を向上させ、産業規制と進化する技術基準を遵守するために不可欠です。,メインフレーム移住と近代化の重要性は何ですか?,メインフレーム移行と近代化は、企業がレガシーシステムを維持するために必要な時間とお金を削減し、同時にユーザーエクスペリエンスを向上させるために重要です。これにより、顧客サービスやその他の重要なプロセスの信頼性が高まり、全体的な効率性が向上します。さらに、新しい技術やセキュリティ対策にアクセスできるため、組織はより安全で競争力のある立場に立つことができます。
763,"In your role as a supportive AI assistant, you've been presented with a question related to a cobol-related topic. Please furnish a response to the query.",What is the role of the IDENTIFICATION DIVISION in COBOL?,"The IDENTIFICATION DIVISION provides metadata about the program, such as its name and the date it was written. It also contains the PROGRAM-ID statement, which specifies the program's name.",IDENTIFICATION DIVISIONは、プログラムに関するメタデータ、例えばその名前とそれが書かれた日付を提供します。,COBOLにおけるIDENTIFICATION DIVISIONの役割は何ですか?,IDENTIFICATION DIVISIONはCOBOLプログラムを識別するための情報を格納します。プログラム名や所属する部門名、処理名などを指定します。また、環境変数やデータセットの参照先も指定します。
2360,"As a supportive AI assistant, you've been given a question regarding a mainframe-related topic. Please provide a response to the inquiry.",What is the significance of a mainframe disaster recovery plan?,"A mainframe disaster recovery plan is essential for business continuity as it outlines the steps to be taken in case of a disaster, such as data backup, system recovery, and communication with stakeholders.",メインフレームの災害回復計画は、災害の場合に行うべき措置、例えばデータバックアップ、システム回復、関係者とのコミュニケーションなどを説明するため、ビジネスの継続性に不可欠です。,メインフレーム災害回復計画の重要性は何ですか?,メインフレームの災害復旧計画は、データやアプリケーションへの継続的なアクセスを保証するために重要です。計画がないと、災害発生時には重要な業務が停止し、顧客サービスに影響を与える可能性があります。また、企業はデータを失ったり、システムがダウンしたりするリスクを最小限に抑える必要があります。災害復旧計画には、システム障害が発生した場合に迅速にデータを復元する方法も含める必要があります。さらに、企業は定期的にバックアップを取得し、災害復旧プロセスをテストして、システムが災害時に正常に動作することを確認する必要があります。
872,"As a supportive AI assistant, you've been given a question regarding a cobol-related topic. Please provide a response to the inquiry.",What is the significance of the PIC clause in COBOL?,"The PIC clause in COBOL is used to specify the picture, which defines the layout and format of a data item.",COBOL の PIC 条項は、データ アイテムの配置と形式を定義する画像を指定するために使用されます。,COBOLにおけるPIC条項の意味は何ですか?,PIC条項は、COBOLのデータ定義言語で使用される要素であり、データ項目の長さを指定するために使用されます。
1175,"As a supportive AI assistant, you've been presented with a query related to a cobol-related topic. Please furnish a reply to the question.",Which type of file is best suited for processing large amounts of data?,"Indexed files are best suited for processing large amounts of data as they allow direct access to specific records, improving efficiency.",インデックスされたファイルは、特定のレコードへの直接アクセスを可能にし、効率を向上させるため、大量のデータを処理するのに最適です。,どのファイルタイプが大量のデータを処理するのに最適ですか?,CSV(Comma Separated Values)は、大量のデータを処理するのに最適なファイル形式です。これは、データを簡単に読み書きできる単純な形式であり、多くのプログラミング言語でサポートされているためです。さらに、CSVファイルは広く使用されており、多くのツールやアプリケーションでサポートされています。
806,"As a helpful AI assistant, you've been presented with a question concerning a topic associated with cobol. Kindly supply a response to the inquiry.",What is the scope of an array in COBOL?,"The scope of an array in COBOL is the portion of the program where the array can be accessed and used. It can be local to a paragraph, section, or program.",COBOL では、アレートの範囲は、アレートがアクセスされ、使用できるプログラムの部分であり、段落、セクション、またはプログラムに位置する可能性があります。,COBOLにおけるアーレイの範囲は何ですか?,COBOLにおけるアーrayの範囲は1から99までです。
1012,"In your capacity as a helpful AI assistant, you've received a query concerning a topic related to cobol. Kindly offer a response to the question.",What is the use of SEARCH statement in COBOL?,SEARCH statement is used to search for a specified value in a table and set a corresponding data item.,検索声明は、テーブルで指定された値を検索し、関連するデータ項目を設定するために使用されます。,COBOLにおける検索声明の使用は何ですか?,COBOLにおける検索声明は、データセット内の特定のレコードを検索するために使用されます。検索声明は、指定された条件を満たす最初のレコードを見つけるために使用されます。
1696,"In your role as a supportive AI assistant, you've been presented with a question related to a mainframe-related topic. Please furnish a response to the query.",What is the role of a catalog in IMS?,"The catalog in IMS serves as a directory for all the files and indexes in the system. It keeps track of the file and index attributes, access methods, and record formats.",IMS のカタログは、システム内のすべてのファイルおよびインデックスのディレクトリとして機能し、ファイルおよびインデックスの属性、アクセス方法およびレコードフォーマットを追跡します。,IMSにおけるカタログの役割は?,IMSカタログは、学習資源や学習成果のメタデータを保存するデータベースです。
2403,"In your capacity as a helpful AI assistant, you've received a query concerning a topic related to mainframe. Kindly offer a response to the question.",What is the significance of virtual storage in Z/Architecture?,"Virtual storage in Z/Architecture allows for the logical separation of main storage into multiple partitions, which enables efficient management and access to data.",Z/Architectureにおける仮想ストレージは、メインストレージを複数のパーティションに論理的に分離し、効率的な管理とデータへのアクセスを可能にします。,Z/Architectureにおける仮想ストレージの意味は何ですか?,Z/アーキテクチャにおける仮想ストレージは、物理メモリとディスクの組み合わせを論理的に1つの大きなメモリのように見せる技術です。これにより、アプリケーションはより多くのメモリが利用可能であるかのようにプログラムでき、実際に使用されたメモリ量だけがシステムに存在します。
1781,"As a supportive AI assistant, you've been given a question regarding a mainframe-related topic. Please provide a response to the inquiry.",What is the role of a storage controller in a mainframe storage system?,"A storage controller is an essential component of a mainframe storage system. It manages data access, data transfer, and error handling processes between the storage devices and the mainframe computer.",ストレージコントローラーはメインフレームストレージシステムの不可欠な要素であり、メインフレームコンピュータとストレージデバイス間のデータアクセス、データ転送、エラー処理プロセスを管理します。,メインフレームストレージシステムにおけるストレージコントローラーの役割は何ですか?,ストレージコントローラーは、メインフレームコンピューターと外部ストレージデバイス間の通信を処理するハードウェアアダプタです。データの読み書きを管理し、エラーをチェックして修正します。また、データの圧縮や重複排除などの機能を提供することもできます。
396,"In your capacity as a helpful AI assistant, you've received a query concerning a topic related to cobol. Kindly offer a response to the question.",What is the purpose of the PERFORM statement in Cobol?,The PERFORM statement in Cobol is used to call a procedure or a paragraph that contains a series of statements to be executed. It allows for the repetitive execution of a block of code.,Cobol の PERFORM 声明は、実行される一連の声明を含む手続きまたは段落を呼び出すために使用され、コードブロックの繰り返し実行を可能にします。,コボルでのパフォーマンス宣言の目的は何ですか?,コボルでのパフォーマンス宣言の目的は、チェコの市民権と自由を回復し、共産主義の抑圧的な政策に対抗することでした。
147,"As a helpful AI assistant, you've been presented with a question concerning a topic associated with cobol. Kindly supply a response to the inquiry.",What is the purpose of COBOL data types?,COBOL data types are used to define the characteristics and properties of data items in a COBOL program. They help in managing and organizing data efficiently and effectively.,COBOL データ タイプは、COBOL プログラムにおけるデータ アイテムの特性と特性を定義するために使用され、効率的かつ効率的にデータを管理および組織するのに役立ちます。,COBOL データタイプの目的は何ですか?,COBOL データタイプは、データの説明と操作を容易にするために使用されます。文字セット、長さ、精度などのデータの特徴を指定するために使用されます。
28,"As a supportive AI assistant, you've been given a question regarding a cobol-related topic. Please provide a response to the inquiry.",What is the future of COBOL in the tech industry?,"The future of COBOL in the tech industry depends on its ability to adapt to new technologies and remain relevant in the business world. As long as there is a need for stable, reliable business applications, COBOL will continue to play a role.",テクノロジー業界におけるCOBOLの未来は、新しいテクノロジーに適応する能力に依存し、ビジネス世界において重要であり続ける。,テクノロジー業界におけるCOBOLの未来は?,COBOLは、特に金融や保険などの規制産業で、バックエンド処理やトランザクション処理にまだ広く使用されています。しかし、新しい開発プロジェクトではますます使用されなくなっており、JavaやC ++などの言語に置き換えられています。COBOLの将来は、現代のアプリケーション開発に使用されるWebサービスやマイクロサービスアーキテクチャとの互換性にかかっています。これらの技術がより普及すれば、COBOLの需要が高まり、その未来がより明るくなる可能性があります。
1244,You are a helpful AI assistant. You have been provided with a question related to a mainframe-related topic. Please answer the question.,What is the purpose of a Transaction Log in Mainframes?,"The Transaction Log is a file that records the details of each transaction executed in a mainframe system. It is used by the Transaction Monitor and other system components to ensure data consistency, recover incomplete transactions, and support system management functions.",トランザクションログはメインフレームシステムで実行される各トランザクションの詳細を記録するファイルであり、トランザクションモニターおよびその他のシステムコンポーネントによってデータの一貫性を確保し、不完全なトランザクションを回復し、システム管理機能をサポートします。,メインフレームでのトランザクションログの目的は何ですか?,メインフレームコンピュータでは、トランザクションログはデータベースの変更を記録し、障害が発生した場合にデータを復元するために使用されます。
2438,"As a helpful AI assistant, you've been presented with a question concerning a topic associated with mainframe. Kindly supply a response to the inquiry.",What is workload management and why is it important for mainframe performance optimization?,Workload management is the process of allocating resources to tasks in an efficient manner to maximize system performance. It is important for mainframe performance optimization as it helps to distribute workload evenly and avoid overloading critical system components.,作業負荷管理は、システムのパフォーマンスを最大化するための効率的な方法で作業に資源を割り当てるプロセスです メインフレームのパフォーマンス最適化には重要です 作業負荷を均等に分配し、重要なシステムコンポーネントの過剰負荷を避けるのに役立ちます。,作業負荷管理とは何ですか? メインフレームのパフォーマンス最適化にはなぜ重要ですか?,作業負荷管理は、コンピュータシステムの作業負荷を管理するプロセスです。メインフレームコンピュータでは、リソースを効率的に割り当て、リソースが過剰に使用されたり空いたりすることを防ぐために重要です。これにより、パフォーマンスを最適化し、リソースを最大限に活用することができます。
837,You are a helpful AI assistant. You have been provided with a question related to a cobol-related topic. Please answer the question.,What is the significance of data division in COBOL?,The data division in COBOL is crucial as it defines the data items and data groups used in a program. It provides a clear structure for the data and helps in managing the data efficiently.,COBOLにおけるデータ分割は、プログラムで使用されるデータ項目やデータグループを定義するため、重要です。,COBOLにおけるデータ分割の重要性は?,COBOLにおけるデータ分割は、データをより管理しやすくするために重要です。大規模なデータを処理する際、それを小さなセクションに分割することで、プログラムはデータをより簡単に取得、操作、出力することができます。さらに、データ分割により、特定のデータ要素を簡単に検索したり、一連のデータ要素を比較したりすることができ、全体的なプログラムの効率性が向上します。
1048,"As a supportive AI assistant, you've been given a question regarding a cobol-related topic. Please provide a response to the inquiry.",What is trace in COBOL and how is it useful during debugging?,Trace in COBOL is a technique that allows the display of program execution details. It is useful during debugging because it helps identify where a program deviates from the expected execution path and the values of variables at specific points in time.,COBOLのトラックは、プログラムの実行の詳細を表示することを可能にするテクニックです デビュー中に役立ちます プログラムが予想される実行コースと時間の特定の点で変数の値からどこが異なるかを特定するのに役立ちます。,COBOLの痕跡は何であり、デビュー中にどのように役立ちますか?,COBOLの痕跡は、プログラムの実行中に残された情報で構成されるログです。これには、プログラムが実行されたタイムスタンプ、プログラムの各部分で何が起こったか、プログラムが正常に実行されたかどうかなどが含まれます。この情報により、開発者はプログラムの問題を特定し、素早く修正することができます。
935,"In your capacity as a helpful AI assistant, you've received a query concerning a topic related to cobol. Kindly offer a response to the question.",What is the syntax for defining a nested program in COBOL?,"To define a nested program in COBOL, use the `PROGRAM-ID` statement followed by the `END PROGRAM` statement. The nested program is invoked within the parent program using the `CALL` statement.",COBOL でナストされたプログラムを定義するには、「PROGRAM-ID」の声明を使用し、「END PROGRAM」の声明に続きます。,COBOLでナストされたプログラムを定義するための合成とは何ですか?,COBOLの合成データは、複数のサブフィールドから構成されるデータであり、それぞれのサブフィールドが特定の長さとデータタイプを持っているものです。
419,"As a helpful AI assistant, you've received a question pertaining to a topic associated with cobol. Kindly provide a response to the inquiry.",What is the purpose of the RECORD-KEY clause in COBOL?,The RECORD-KEY clause is used in indexed files to define the key field(s) that uniquely identify a record in the file. It enables direct access to specific records.,レコードキー条項は、インデックスされたファイルで、ファイル内のレコードをユニークに識別するキーフィールド(s)を定義するために使用されます。,COBOLの記録キー条項の目的は何ですか?,COBOLの記録キー条項は、データセット内の各レコードを一意に識別するためのものです。
2245,You are a helpful AI assistant. You have been provided with a question related to a mainframe-related topic. Please answer the question.,What is the role of the System/360 and System/370 mainframes in the history of scalability and reliability?,"The System/360 and System/370 mainframes played a significant role in the history of scalability and reliability. They were the first generation of large-scale, high-performance computing systems that laid the foundation for modern mainframes and contributed to the development of scalable and reliable computing architectures.",システム/360とシステム/370のメインフレームは、スケール性と信頼性の歴史において重要な役割を果たし、現代のメインフレームに基礎を置き、スケール性と信頼性の高いコンピューティングアーキテクチャの開発に貢献した大規模、高性能コンピューティングシステムの最初の世代でした。,スケール性と信頼性の歴史におけるシステム/360とシステム/370のメインフレームの役割は何ですか?,IBMのSystem/360とSystem/370は、メインフレームコンピュータの歴史において重要な役割を果たしました。これらのシステムは、信頼性の高い大規模なコンピューティングパワーを提供するために設計され、企業や政府機関が大量のデータを処理し、複雑なアプリケーションを実行するのに役立ちました。System/360は1964年に発表され、最初の汎用コンピュータであり、System/370は1965年に発表され、より洗練された命令セットを持つ後続モデルでした。これらのシステムは、今日のクラウドコンピューティングや分散コンピューティングの基盤を築き、その後のコンピューティングの発展に重要な役割を果たしました。
